"RaceNo","Date","Site","Cars","Len","Sfc","Miles","Cau","Speed","LC","Driver","Finish","Start","CarNumber","Make","Pts","Laps","Led","Status","Rating","Team"
1,2005-02-20,"Daytona",43,2.5,"P",508,11,135.173,22,"Scott Wimmer",33,16,"#22","Dodge","69/5",182,8,"accident",77.6,"Bill Davis Racing"
1,2005-02-20,"Daytona",43,2.5,"P",508,11,135.173,22,"Martin Truex Jr.",34,10,"#1","Chevrolet","61/0",178,0,"engine",74.6,"Dale Earnhardt Inc."
1,2005-02-20,"Daytona",43,2.5,"P",508,11,135.173,22,"Bobby Hamilton Jr.",35,22,"#32","Chevrolet","58/0",173,0,"Running",29.1,"PPI Motorsports"
1,2005-02-20,"Daytona",43,2.5,"P",508,11,135.173,22,"Jason Leffler",36,40,"#11","Chevrolet","55/0",168,0,"accident",62,"Joe Gibbs Racing"
1,2005-02-20,"Daytona",43,2.5,"P",508,11,135.173,22,"Michael Waltrip",37,3,"#15","Chevrolet","57/5",161,42,"engine",100.8,"Dale Earnhardt Inc."
1,2005-02-20,"Daytona",43,2.5,"P",508,11,135.173,22,"Kyle Busch",38,19,"#5","Chevrolet","49/0",148,0,"Running",42,"Hendrick Motorsports"
1,2005-02-20,"Daytona",43,2.5,"P",508,11,135.173,22,"Ken Schrader",39,31,"#49","Dodge","46/0",120,0,"engine",33.4,"BAM Racing"
1,2005-02-20,"Daytona",43,2.5,"P",508,11,135.173,22,"Kenny Wallace",40,21,"#100","Chevrolet","43/0",39,0,"engine",37.9,"Michael Waltrip Racing"
1,2005-02-20,"Daytona",43,2.5,"P",508,11,135.173,22,"Mike Wallace",41,43,"#4","Chevrolet","40/0",35,0,"overheating",32.3,"Morgan-McClure Motorsports"
1,2005-02-20,"Daytona",43,2.5,"P",508,11,135.173,22,"Matt Kenseth",42,14,"#17","Ford","37/0",34,0,"engine",57.5,"Roush Racing"
1,2005-02-20,"Daytona",43,2.5,"P",508,11,135.173,22,"Bobby Labonte",43,20,"#18","Chevrolet","34/0",14,0,"engine",31.8,"Joe Gibbs Racing"
2,2005-02-27,"Fontana",43,2,"P",500,7,139.697,26,"Greg Biffle",1,5,"#16","Ford","185/5",250,46,"Running",114.5,"Roush Racing"
2,2005-02-27,"Fontana",43,2,"P",500,7,139.697,26,"Jimmie Johnson",2,8,"#48","Chevrolet","175/5",250,4,"Running",119,"Hendrick Motorsports"
2,2005-02-27,"Fontana",43,2,"P",500,7,139.697,26,"Kurt Busch",3,20,"#97","Ford","170/5",250,11,"Running",107.1,"Roush Racing"
2,2005-02-27,"Fontana",43,2,"P",500,7,139.697,26,"Jamie McMurray",4,15,"#42","Dodge","160/0",250,0,"Running",104,"Chip Ganassi Racing"
2,2005-02-27,"Fontana",43,2,"P",500,7,139.697,26,"Carl Edwards",5,19,"#99","Ford","160/5",250,33,"Running",116.7,"Roush Racing"
2,2005-02-27,"Fontana",43,2,"P",500,7,139.697,26,"Kevin Harvick",6,31,"#29","Chevrolet","155/5",250,23,"Running",104.8,"Richard Childress Racing"
2,2005-02-27,"Fontana",43,2,"P",500,7,139.697,26,"Mark Martin",7,18,"#6","Ford","151/5",250,4,"Running",107,"Roush Racing"
2,2005-02-27,"Fontana",43,2,"P",500,7,139.697,26,"Elliott Sadler",8,41,"#38","Ford","142/0",250,0,"Running",81.2,"Robert Yates Racing"
2,2005-02-27,"Fontana",43,2,"P",500,7,139.697,26,"Ryan Newman",9,9,"#12","Dodge","138/0",250,0,"Running",91.7,"Penske Racing South"
2,2005-02-27,"Fontana",43,2,"P",500,7,139.697,26,"Rusty Wallace",10,23,"#2","Dodge","134/0",250,0,"Running",92.5,"Penske Racing South"
2,2005-02-27,"Fontana",43,2,"P",500,7,139.697,26,"Dale Jarrett",11,7,"#88","Ford","130/0",250,0,"Running",86.4,"Robert Yates Racing"
2,2005-02-27,"Fontana",43,2,"P",500,7,139.697,26,"Mike Bliss",12,10,"#0","Chevrolet","127/0",250,0,"Running",82.4,"Haas CNC Racing"
2,2005-02-27,"Fontana",43,2,"P",500,7,139.697,26,"Bobby Labonte",13,14,"#18","Chevrolet","124/0",250,0,"Running",75.6,"Joe Gibbs Racing"
2,2005-02-27,"Fontana",43,2,"P",500,7,139.697,26,"Ken Schrader",14,38,"#49","Dodge","121/0",250,0,"Running",65.7,"BAM Racing"
2,2005-02-27,"Fontana",43,2,"P",500,7,139.697,26,"Sterling Marlin",15,13,"#40","Dodge","118/0",250,0,"Running",78.8,"Chip Ganassi Racing"
2,2005-02-27,"Fontana",43,2,"P",500,7,139.697,26,"Scott Wimmer",16,27,"#22","Dodge","115/0",250,0,"Running",63.7,"Bill Davis Racing"
2,2005-02-27,"Fontana",43,2,"P",500,7,139.697,26,"Tony Stewart",17,29,"#20","Chevrolet","112/0",250,0,"Running",69.1,"Joe Gibbs Racing"
2,2005-02-27,"Fontana",43,2,"P",500,7,139.697,26,"Kyle Petty",18,36,"#45","Dodge","114/5",250,2,"Running",55.2,"Petty Enterprises"
2,2005-02-27,"Fontana",43,2,"P",500,7,139.697,26,"Jeff Burton",19,32,"#31","Chevrolet","106/0",250,0,"Running",61.8,"Richard Childress Racing"
2,2005-02-27,"Fontana",43,2,"P",500,7,139.697,26,"Bobby Hamilton Jr.",20,26,"#32","Chevrolet","103/0",250,0,"Running",52,"PPI Motorsports"
2,2005-02-27,"Fontana",43,2,"P",500,7,139.697,26,"Brian Vickers",21,2,"#25","Chevrolet","105/5",250,1,"Running",72.8,"Hendrick Motorsports"
2,2005-02-27,"Fontana",43,2,"P",500,7,139.697,26,"Casey Mears",22,16,"#41","Dodge","97/0",249,0,"Running",69,"Chip Ganassi Racing"
2,2005-02-27,"Fontana",43,2,"P",500,7,139.697,26,"Kyle Busch",23,1,"#5","Chevrolet","99/5",249,2,"Running",78.8,"Hendrick Motorsports"
2,2005-02-27,"Fontana",43,2,"P",500,7,139.697,26,"Travis Kvapil",24,35,"#77","Dodge","91/0",249,0,"Running",41.3,"Penske-Jasper Racing"
2,2005-02-27,"Fontana",43,2,"P",500,7,139.697,26,"Mike Wallace",25,33,"#4","Chevrolet","88/0",249,0,"Running",37.4,"Morgan-McClure Motorsports"
2,2005-02-27,"Fontana",43,2,"P",500,7,139.697,26,"Matt Kenseth",26,6,"#17","Ford","90/5",249,57,"Running",110.9,"Roush Racing"
2,2005-02-27,"Fontana",43,2,"P",500,7,139.697,26,"Jeff Green",27,37,"#43","Dodge","87/5",249,1,"Running",47.2,"Petty Enterprises"
2,2005-02-27,"Fontana",43,2,"P",500,7,139.697,26,"Jeremy Mayfield",28,3,"#19","Dodge","84/5",248,1,"Running",51.7,"Evernham Motorsports"
2,2005-02-27,"Fontana",43,2,"P",500,7,139.697,26,"John Andretti",29,24,"#14","Ford","76/0",248,0,"Running",43.3,"ppc Racing"
2,2005-02-27,"Fontana",43,2,"P",500,7,139.697,26,"Jeff Gordon",30,28,"#24","Chevrolet","73/0",246,0,"engine",79.5,"Hendrick Motorsports"
2,2005-02-27,"Fontana",43,2,"P",500,7,139.697,26,"Kevin Lepage",31,43,"#37","Dodge","70/0",241,0,"Running",40.7,"RJ Motorsports"
2,2005-02-27,"Fontana",43,2,"P",500,7,139.697,26,"Dale Earnhardt Jr.",32,40,"#8","Chevrolet","67/0",237,0,"Running",47.6,"Dale Earnhardt Inc."
2,2005-02-27,"Fontana",43,2,"P",500,7,139.697,26,"Scott Riggs",33,12,"#10","Chevrolet","64/0",229,0,"engine",59.4,"MB2 Motorsports"
2,2005-02-27,"Fontana",43,2,"P",500,7,139.697,26,"Dave Blaney",34,42,"#07","Chevrolet","61/0",224,0,"Running",39.3,"Richard Childress Racing"
2,2005-02-27,"Fontana",43,2,"P",500,7,139.697,26,"Robby Gordon",35,25,"#7","Chevrolet","58/0",222,0,"engine",41.9,"Robby Gordon Motorsports"
2,2005-02-27,"Fontana",43,2,"P",500,7,139.697,26,"Terry Labonte",36,11,"#44","Chevrolet","55/0",216,0,"rear gear",55.1,"Hendrick Motorsports"
2,2005-02-27,"Fontana",43,2,"P",500,7,139.697,26,"Jason Leffler",37,39,"#11","Chevrolet","52/0",215,0,"engine",32.5,"Joe Gibbs Racing"
2,2005-02-27,"Fontana",43,2,"P",500,7,139.697,26,"Michael Waltrip",38,30,"#15","Chevrolet","49/0",203,0,"engine",57.1,"Dale Earnhardt Inc."
2,2005-02-27,"Fontana",43,2,"P",500,7,139.697,26,"Joe Nemechek",39,4,"#01","Chevrolet","56/10",180,63,"engine",113.4,"MB2 Motorsports"
2,2005-02-27,"Fontana",43,2,"P",500,7,139.697,26,"Kasey Kahne",40,17,"#9","Dodge","43/0",167,0,"accident",76.3,"Evernham Motorsports"
2,2005-02-27,"Fontana",43,2,"P",500,7,139.697,26,"Ricky Rudd",41,21,"#21","Ford","40/0",145,0,"engine",26.1,"Wood Brothers Racing"
2,2005-02-27,"Fontana",43,2,"P",500,7,139.697,26,"Randy LaJoie",42,34,"#34","Chevrolet","42/5",47,2,"transmission",27.3,"Mach 1 Motorsports"
2,2005-02-27,"Fontana",43,2,"P",500,7,139.697,26,"Bill Elliott",43,22,"#91","Dodge","34/0",23,0,"accident",25.4,"Evernham Motorsports"
3,2005-03-13,"Las Vegas",43,1.5,"P",401,10,121.038,25,"Jimmie Johnson",1,9,"#48","Chevrolet","190/10",267,107,"Running",140.5,"Hendrick Motorsports"
3,2005-03-13,"Las Vegas",43,1.5,"P",401,10,121.038,25,"Kyle Busch",2,10,"#5","Chevrolet","170/0",267,0,"Running",113.4,"Hendrick Motorsports"
3,2005-03-13,"Las Vegas",43,1.5,"P",401,10,121.038,25,"Kurt Busch",3,5,"#97","Ford","170/5",267,40,"Running",120,"Roush Racing"
3,2005-03-13,"Las Vegas",43,1.5,"P",401,10,121.038,25,"Jeff Gordon",4,11,"#24","Chevrolet","160/0",267,0,"Running",108.8,"Hendrick Motorsports"
3,2005-03-13,"Las Vegas",43,1.5,"P",401,10,121.038,25,"Kevin Harvick",5,42,"#29","Chevrolet","155/0",267,0,"Running",100.6,"Richard Childress Racing"
3,2005-03-13,"Las Vegas",43,1.5,"P",401,10,121.038,25,"Greg Biffle",6,3,"#16","Ford","155/5",267,52,"Running",120.6,"Roush Racing"
3,2005-03-13,"Las Vegas",43,1.5,"P",401,10,121.038,25,"Casey Mears",7,15,"#41","Dodge","146/0",267,0,"Running",89.4,"Chip Ganassi Racing"
3,2005-03-13,"Las Vegas",43,1.5,"P",401,10,121.038,25,"Matt Kenseth",8,8,"#17","Ford","142/0",267,0,"Running",94,"Roush Racing"
3,2005-03-13,"Las Vegas",43,1.5,"P",401,10,121.038,25,"Ryan Newman",9,1,"#12","Dodge","143/5",267,44,"Running",121.2,"Penske Racing South"
3,2005-03-13,"Las Vegas",43,1.5,"P",401,10,121.038,25,"Tony Stewart",10,23,"#20","Chevrolet","134/0",267,0,"Running",94.9,"Joe Gibbs Racing"
3,2005-03-13,"Las Vegas",43,1.5,"P",401,10,121.038,25,"Bobby Hamilton Jr.",11,16,"#32","Chevrolet","130/0",267,0,"Running",86,"PPI Motorsports"
3,2005-03-13,"Las Vegas",43,1.5,"P",401,10,121.038,25,"Rusty Wallace",12,21,"#2","Dodge","127/0",267,0,"Running",72.8,"Penske Racing South"
3,2005-03-13,"Las Vegas",43,1.5,"P",401,10,121.038,25,"Dave Blaney",13,29,"#07","Chevrolet","129/5",267,7,"Running",86.5,"Richard Childress Racing"
3,2005-03-13,"Las Vegas",43,1.5,"P",401,10,121.038,25,"Carl Edwards",14,20,"#99","Ford","121/0",267,0,"Running",70.8,"Roush Racing"
3,2005-03-13,"Las Vegas",43,1.5,"P",401,10,121.038,25,"Jamie McMurray",15,22,"#42","Dodge","118/0",267,0,"Running",82.7,"Chip Ganassi Racing"
3,2005-03-13,"Las Vegas",43,1.5,"P",401,10,121.038,25,"Mike Bliss",16,18,"#0","Chevrolet","115/0",267,0,"Running",74.9,"Haas CNC Racing"
3,2005-03-13,"Las Vegas",43,1.5,"P",401,10,121.038,25,"Jeff Burton",17,24,"#31","Chevrolet","112/0",267,0,"Running",74.2,"Richard Childress Racing"
3,2005-03-13,"Las Vegas",43,1.5,"P",401,10,121.038,25,"Dale Jarrett",18,13,"#88","Ford","109/0",267,0,"Running",73.9,"Robert Yates Racing"
3,2005-03-13,"Las Vegas",43,1.5,"P",401,10,121.038,25,"Joe Nemechek",19,12,"#01","Chevrolet","106/0",267,0,"Running",95.1,"MB2 Motorsports"
3,2005-03-13,"Las Vegas",43,1.5,"P",401,10,121.038,25,"Jeremy Mayfield",20,26,"#19","Dodge","103/0",267,0,"Running",74.9,"Evernham Motorsports"
3,2005-03-13,"Las Vegas",43,1.5,"P",401,10,121.038,25,"Michael Waltrip",21,36,"#15","Chevrolet","100/0",266,0,"Running",57.5,"Dale Earnhardt Inc."
3,2005-03-13,"Las Vegas",43,1.5,"P",401,10,121.038,25,"Jason Leffler",22,17,"#11","Chevrolet","97/0",266,0,"Running",62.7,"Joe Gibbs Racing"
3,2005-03-13,"Las Vegas",43,1.5,"P",401,10,121.038,25,"Jeff Green",23,39,"#43","Dodge","99/5",266,1,"Running",57.1,"Petty Enterprises"
3,2005-03-13,"Las Vegas",43,1.5,"P",401,10,121.038,25,"Mike Wallace",24,30,"#4","Chevrolet","96/5",266,1,"Running",54,"Morgan-McClure Motorsports"
3,2005-03-13,"Las Vegas",43,1.5,"P",401,10,121.038,25,"Kyle Petty",25,35,"#45","Dodge","93/5",266,2,"Running",51.5,"Petty Enterprises"
3,2005-03-13,"Las Vegas",43,1.5,"P",401,10,121.038,25,"Travis Kvapil",26,6,"#77","Dodge","90/5",266,9,"Running",89.2,"Penske-Jasper Racing"
3,2005-03-13,"Las Vegas",43,1.5,"P",401,10,121.038,25,"Scott Wimmer",27,28,"#22","Dodge","82/0",266,0,"Running",64.6,"Bill Davis Racing"
3,2005-03-13,"Las Vegas",43,1.5,"P",401,10,121.038,25,"John Andretti",28,37,"#14","Ford","79/0",265,0,"Running",43.1,"ppc Racing"
3,2005-03-13,"Las Vegas",43,1.5,"P",401,10,121.038,25,"Elliott Sadler",29,2,"#38","Ford","76/0",265,0,"Running",61.4,"Robert Yates Racing"
3,2005-03-13,"Las Vegas",43,1.5,"P",401,10,121.038,25,"Mark Martin",30,19,"#6","Ford","73/0",243,0,"Running",53.7,"Roush Racing"
3,2005-03-13,"Las Vegas",43,1.5,"P",401,10,121.038,25,"Scott Riggs",31,4,"#10","Chevrolet","70/0",243,0,"Running",77.5,"MB2 Motorsports"
3,2005-03-13,"Las Vegas",43,1.5,"P",401,10,121.038,25,"Eric McClure",32,41,"#173","Chevrolet","67/0",237,0,"too slow",33.8,"Raabe Racing Enterprises"
3,2005-03-13,"Las Vegas",43,1.5,"P",401,10,121.038,25,"Hermie Sadler",33,40,"#66","Ford","64/0",226,0,"accident",29.5,"Peak Fitness Racing"
3,2005-03-13,"Las Vegas",43,1.5,"P",401,10,121.038,25,"Ken Schrader",34,14,"#49","Dodge","61/0",225,0,"Running",38.9,"BAM Racing"
3,2005-03-13,"Las Vegas",43,1.5,"P",401,10,121.038,25,"Sterling Marlin",35,25,"#40","Dodge","63/5",219,1,"Running",44.8,"Chip Ganassi Racing"
3,2005-03-13,"Las Vegas",43,1.5,"P",401,10,121.038,25,"Randy LaJoie",36,38,"#34","Chevrolet","55/0",182,0,"engine",37.4,"Mach 1 Motorsports"
3,2005-03-13,"Las Vegas",43,1.5,"P",401,10,121.038,25,"Ricky Rudd",37,33,"#21","Ford","52/0",181,0,"Running",32.4,"Wood Brothers Racing"
3,2005-03-13,"Las Vegas",43,1.5,"P",401,10,121.038,25,"Kasey Kahne",38,7,"#9","Dodge","54/5",154,1,"accident",54,"Evernham Motorsports"
3,2005-03-13,"Las Vegas",43,1.5,"P",401,10,121.038,25,"Robby Gordon",39,27,"#7","Chevrolet","46/0",57,0,"engine",35.1,"Robby Gordon Motorsports"
3,2005-03-13,"Las Vegas",43,1.5,"P",401,10,121.038,25,"Morgan Shepherd",40,43,"#89","Dodge","48/5",39,2,"too slow",34.9,"Victory Motorsports"
3,2005-03-13,"Las Vegas",43,1.5,"P",401,10,121.038,25,"Bobby Labonte",41,31,"#18","Chevrolet","40/0",15,0,"accident",32,"Joe Gibbs Racing"
3,2005-03-13,"Las Vegas",43,1.5,"P",401,10,121.038,25,"Dale Earnhardt Jr.",42,34,"#8","Chevrolet","37/0",11,0,"accident",29.1,"Dale Earnhardt Inc."
3,2005-03-13,"Las Vegas",43,1.5,"P",401,10,121.038,25,"Brian Vickers",43,32,"#25","Chevrolet","34/0",11,0,"accident",30.7,"Hendrick Motorsports"
4,2005-03-20,"Atlanta",43,1.54,"P",501,8,143.478,27,"Carl Edwards",1,4,"#99","Ford","185/5",325,9,"Running",124.6,"Roush Racing"
4,2005-03-20,"Atlanta",43,1.54,"P",501,8,143.478,27,"Jimmie Johnson",2,3,"#48","Chevrolet","180/10",325,156,"Running",139.6,"Hendrick Motorsports"
4,2005-03-20,"Atlanta",43,1.54,"P",501,8,143.478,27,"Greg Biffle",3,6,"#16","Ford","170/5",325,151,"Running",135.1,"Roush Racing"
4,2005-03-20,"Atlanta",43,1.54,"P",501,8,143.478,27,"Mark Martin",4,12,"#6","Ford","165/5",325,2,"Running",114.4,"Roush Racing"
4,2005-03-20,"Atlanta",43,1.54,"P",501,8,143.478,27,"Kasey Kahne",5,5,"#9","Dodge","155/0",325,0,"Running",109.8,"Evernham Motorsports"
4,2005-03-20,"Atlanta",43,1.54,"P",501,8,143.478,27,"Brian Vickers",6,8,"#25","Chevrolet","150/0",325,0,"Running",94.1,"Hendrick Motorsports"
4,2005-03-20,"Atlanta",43,1.54,"P",501,8,143.478,27,"Michael Waltrip",7,37,"#15","Chevrolet","146/0",325,0,"Running",93.6,"Dale Earnhardt Inc."
4,2005-03-20,"Atlanta",43,1.54,"P",501,8,143.478,27,"Dave Blaney",8,27,"#07","Chevrolet","147/5",325,1,"Running",102.7,"Richard Childress Racing"
4,2005-03-20,"Atlanta",43,1.54,"P",501,8,143.478,27,"Scott Riggs",9,17,"#10","Chevrolet","138/0",325,0,"Running",101.5,"MB2 Motorsports"
4,2005-03-20,"Atlanta",43,1.54,"P",501,8,143.478,27,"Elliott Sadler",10,11,"#38","Ford","134/0",325,0,"Running",95.8,"Robert Yates Racing"
4,2005-03-20,"Atlanta",43,1.54,"P",501,8,143.478,27,"Jamie McMurray",11,13,"#42","Dodge","130/0",325,0,"Running",84.6,"Chip Ganassi Racing"
4,2005-03-20,"Atlanta",43,1.54,"P",501,8,143.478,27,"Kyle Busch",12,42,"#5","Chevrolet","127/0",325,0,"Running",74.9,"Hendrick Motorsports"
4,2005-03-20,"Atlanta",43,1.54,"P",501,8,143.478,27,"Jeremy Mayfield",13,14,"#19","Dodge","124/0",325,0,"Running",81.3,"Evernham Motorsports"
4,2005-03-20,"Atlanta",43,1.54,"P",501,8,143.478,27,"Ryan Newman",14,1,"#12","Dodge","126/5",325,5,"Running",78.6,"Penske Racing South"
4,2005-03-20,"Atlanta",43,1.54,"P",501,8,143.478,27,"Jeff Burton",15,38,"#31","Chevrolet","118/0",325,0,"Running",85.4,"Richard Childress Racing"
4,2005-03-20,"Atlanta",43,1.54,"P",501,8,143.478,27,"Sterling Marlin",16,39,"#40","Dodge","115/0",325,0,"Running",69.6,"Chip Ganassi Racing"
4,2005-03-20,"Atlanta",43,1.54,"P",501,8,143.478,27,"Tony Stewart",17,9,"#20","Chevrolet","112/0",325,0,"Running",72.8,"Joe Gibbs Racing"
4,2005-03-20,"Atlanta",43,1.54,"P",501,8,143.478,27,"Mike Bliss",18,16,"#0","Chevrolet","109/0",324,0,"Running",69,"Haas CNC Racing"
4,2005-03-20,"Atlanta",43,1.54,"P",501,8,143.478,27,"Casey Mears",19,15,"#41","Dodge","106/0",324,0,"Running",73,"Chip Ganassi Racing"
4,2005-03-20,"Atlanta",43,1.54,"P",501,8,143.478,27,"Scott Wimmer",20,33,"#22","Dodge","103/0",324,0,"Running",61,"Bill Davis Racing"
4,2005-03-20,"Atlanta",43,1.54,"P",501,8,143.478,27,"Kevin Harvick",21,36,"#29","Chevrolet","100/0",324,0,"Running",66.1,"Richard Childress Racing"
4,2005-03-20,"Atlanta",43,1.54,"P",501,8,143.478,27,"Bill Elliott",22,18,"#91","Dodge","97/0",324,0,"Running",60.7,"Evernham Motorsports"
4,2005-03-20,"Atlanta",43,1.54,"P",501,8,143.478,27,"Dale Jarrett",23,34,"#88","Ford","99/5",323,1,"Running",71,"Robert Yates Racing"
4,2005-03-20,"Atlanta",43,1.54,"P",501,8,143.478,27,"Dale Earnhardt Jr.",24,35,"#8","Chevrolet","91/0",323,0,"Running",57.1,"Dale Earnhardt Inc."
4,2005-03-20,"Atlanta",43,1.54,"P",501,8,143.478,27,"Jason Leffler",25,10,"#11","Chevrolet","88/0",323,0,"Running",57,"Joe Gibbs Racing"
4,2005-03-20,"Atlanta",43,1.54,"P",501,8,143.478,27,"Ken Schrader",26,28,"#49","Dodge","85/0",323,0,"Running",50.9,"BAM Racing"
4,2005-03-20,"Atlanta",43,1.54,"P",501,8,143.478,27,"Rusty Wallace",27,32,"#2","Dodge","82/0",322,0,"Running",46.7,"Penske Racing South"
4,2005-03-20,"Atlanta",43,1.54,"P",501,8,143.478,27,"Jeff Green",28,40,"#43","Dodge","79/0",321,0,"Running",45.9,"Petty Enterprises"
4,2005-03-20,"Atlanta",43,1.54,"P",501,8,143.478,27,"Jimmy Spencer",29,22,"#50","Dodge","76/0",314,0,"Running",46.2,"Arnold Motorsports"
4,2005-03-20,"Atlanta",43,1.54,"P",501,8,143.478,27,"Kevin Lepage",30,29,"#37","Dodge","73/0",314,0,"Running",39.1,"RJ Motorsports"
4,2005-03-20,"Atlanta",43,1.54,"P",501,8,143.478,27,"Matt Kenseth",31,23,"#17","Ford","70/0",311,0,"Running",40.3,"Roush Racing"
4,2005-03-20,"Atlanta",43,1.54,"P",501,8,143.478,27,"Kurt Busch",32,24,"#97","Ford","67/0",304,0,"Running",76.9,"Roush Racing"
